DATE,POLSLRTTO02IXOBM
06/01/2000,37.4898602003792
07/01/2000,37.2101333388635
08/01/2000,37.7234046117045
09/01/2000,37.4230990418139
10/01/2000,38.0021743239934
11/01/2000,36.710262155197
12/01/2000,44.3368271938857
01/01/2001,32.1018279157358
02/01/2001,30.5861821151881
03/01/2001,35.9538749787632
04/01/2001,37.3986917365319
05/01/2001,38.0356745469294
06/01/2001,37.5556642097178
07/01/2001,37.759536995014
08/01/2001,38.8648050645956
09/01/2001,37.9275166843075
10/01/2001,40.1878245832612
11/01/2001,37.6035216710549
12/01/2001,45.3971092498104
01/01/2002,33.6090986605494
02/01/2002,32.9276084111084
03/01/2002,39.5010700130731
04/01/2002,38.3759410970366
05/01/2002,38.7303255982382
06/01/2002,38.5008490711266
07/01/2002,40.9899156352719
08/01/2002,40.8305502890192
09/01/2002,39.688431974208
10/01/2002,42.1734306541397
11/01/2002,39.8040077433372
12/01/2002,47.6081239635869
01/01/2003,35.762205846108
02/01/2003,34.4877616506996
03/01/2003,38.8124011444314
04/01/2003,42.6153943095883
05/01/2003,42.5026899881393
06/01/2003,41.6309663298831
07/01/2003,43.2131340016894
08/01/2003,43.0657330207709
09/01/2003,43.6955372119679
10/01/2003,46.4973522859515
11/01/2003,44.3303664366052
12/01/2003,55.8257286497895
01/01/2004,38.4905597169391
02/01/2004,38.6556679585522
03/01/2004,46.8620261413406
04/01/2004,55.6591846843362
05/01/2004,44.1922976606475
06/01/2004,45.2056794044618
07/01/2004,47.9096259700109
08/01/2004,47.1797996846193
09/01/2004,47.526526992007
10/01/2004,48.3460860174058
11/01/2004,46.2597399904126
12/01/2004,57.386360463994
01/01/2005,41.371339602129
02/01/2005,39.5986992342008
03/01/2005,46.7416646260777
04/01/2005,47.6629207568179
05/01/2005,47.7471498887713
06/01/2005,49.9466788118269
07/01/2005,50.3123098164427
08/01/2005,50.9198602881179
09/01/2005,50.0746975209037
10/01/2005,51.961477934121
11/01/2005,49.6339303019886
12/01/2005,61.0196989287107
01/01/2006,44.9453348147876
02/01/2006,43.6180081246017
03/01/2006,51.4517959708803
04/01/2006,53.9466054303861
05/01/2006,54.2847183947331
06/01/2006,55.2844607620663
07/01/2006,55.853485977365
08/01/2006,56.764213466611
09/01/2006,57.3248636261758
10/01/2006,58.8563023889647
11/01/2006,56.3861395220475
12/01/2006,69.1645602736809
01/01/2007,52.3405090279113
02/01/2007,51.260126838225
03/01/2007,61.3216795097482
04/01/2007,62.0716059289014
05/01/2007,62.3226183136147
06/01/2007,64.2670669677433
07/01/2007,65.3766422088452
08/01/2007,66.6604186092143
09/01/2007,65.4635035011721
10/01/2007,70.2803569847566
11/01/2007,67.199054336564
12/01/2007,77.7738782809281
01/01/2008,63.2572745335293
02/01/2008,63.4774188556802
03/01/2008,70.961607946891
04/01/2008,73.0041643967607
05/01/2008,71.6368767263582
06/01/2008,73.3731454236702
07/01/2008,74.7004721138561
08/01/2008,71.7656132973552
09/01/2008,73.0324002989496
10/01/2008,75.8401975556004
11/01/2008,68.9858126555866
12/01/2008,82.8977373789904
01/01/2009,65.733180295807
02/01/2009,64.5625867915002
03/01/2009,72.4638536582642
04/01/2009,75.5776993801661
05/01/2009,73.4865676070392
06/01/2009,75.0024526948935
07/01/2009,79.2789954399816
08/01/2009,75.9864020999854
09/01/2009,75.4585343014366
10/01/2009,78.3752072826294
11/01/2009,73.5918540219809
12/01/2009,89.1156180432201
01/01/2010,67.3612911304969
02/01/2010,64.6367658565728
03/01/2010,78.7709884878877
04/01/2010,74.3549412430018
05/01/2010,76.678899565534
06/01/2010,79.8159561561844
07/01/2010,82.3516837451335
08/01/2010,80.996599727372
09/01/2010,81.943938174541
10/01/2010,85.4581115605281
11/01/2010,79.7099518793226
12/01/2010,99.8419108527163
01/01/2011,71.2592813564081
02/01/2011,72.527982656456
03/01/2011,86.170230585225
04/01/2011,88.1814403979188
05/01/2011,87.2410412826438
06/01/2011,88.4803102439694
07/01/2011,89.1292574197012
08/01/2011,90.1184711455401
09/01/2011,91.2957646944341
10/01/2011,94.9980179034763
11/01/2011,89.7341757310028
12/01/2011,108.389732022145
01/01/2012,81.4392812447407
02/01/2012,82.4342378659401
03/01/2012,95.3631703334788
04/01/2012,93.0495013651341
05/01/2012,93.9166785645633
06/01/2012,94.1069119733785
07/01/2012,95.2858805334193
08/01/2012,95.3832704672404
09/01/2012,94.1255763833
10/01/2012,98.1673782805293
11/01/2012,91.87148995432
12/01/2012,105.72957503372
01/01/2013,83.9376800138468
02/01/2013,81.7577726499394
03/01/2013,95.4840104233551
04/01/2013,92.8796073773872
05/01/2013,94.3674958503593
06/01/2013,95.7728302025248
07/01/2013,99.382957798493
08/01/2013,98.673231646863
09/01/2013,97.8084473205006
10/01/2013,101.283138300885
11/01/2013,95.3870990641474
12/01/2013,111.842408570314
01/01/2014,87.9914462764104
02/01/2014,87.490617943517
03/01/2014,98.4260478590566
04/01/2014,100.699755847185
05/01/2014,97.9800163193943
06/01/2014,96.9364843749377
07/01/2014,101.497061153062
08/01/2014,100.339628450623
09/01/2014,99.4123901372153
10/01/2014,103.632461077926
11/01/2014,95.1959085061054
12/01/2014,113.831603950793
01/01/2015,88.0687360764698
02/01/2015,86.31643512961
03/01/2015,101.377656787026
04/01/2015,99.2345996683478
05/01/2015,99.7449994935085
06/01/2015,100.651180523928
07/01/2015,102.72460503636
08/01/2015,100.050569384146
09/01/2015,99.5564410958402
10/01/2015,104.498441840821
11/01/2015,98.3111899518474
12/01/2015,119.465145012096
01/01/2016,88.8674771061869
